"I","P","Heure De Collecte","Url Source","Titre","Competiton","Type","Realise Par","Pays","Awards","Duree","Premier Film","Categorie4","Annee"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2968/year/1994.html","ZIRE DARAKHTAN ZEYTON (AU TRAVERS DES OLIVIERS)","En Compétition","Longs Métrages","Abbas KIAROSTAMI","IRAN, RÉPUBLIQUE ISLAMIQUE D","","103.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4835/year/1997.html","TA'M E GUILASS (LE GOUT DE LA CERISE)","En Compétition","Longs Métrages","Abbas KIAROSTAMI","","Palme d'or Ex-aequo, 1997","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3151237/year/2002.html","TEN","En Compétition","Longs Métrages","Abbas KIAROSTAMI","FRANCE, IRAN, RÉPUBLIQUE ISLAMIQUE D","","94.00 minutes","","","2002"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11020892/year/2010.html","COPIE CONFORME","En Compétition","Longs Métrages","Abbas KIAROSTAMI","FRANCE, ITALIE","Prix d'interprétation féminine, 2010","106.00 minutes","","","2010"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11257652/year/2012.html","LIKE SOMEONE IN LOVE","En Compétition","Longs Métrages","Abbas KIAROSTAMI","FRANCE, JAPON","","109.00 minutes","","","2012"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3191/year/1962.html","AMES ET RYTHMES","En Compétition","Longs Métrages","Abdelaziz RAMDANI","MAROC","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2490/year/1970.html","UNE SI SIMPLE HISTOIRE","En Compétition","Longs Métrages","Abdellatif BEN AMMAR","TUNISIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11409897/year/2013.html","LA VIE D'ADELE - CHAPITRE 1 & 2","En Compétition","Longs Métrages","Abdellatif KECHICHE","FRANCE, BELGIQUE, ESPAGNE","Palme d'or, 2013","177.00 minutes","","","2012"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/100009821/year/2014.html","TIMBUKTU","En Compétition","Longs Métrages","Abderrahmane SISSAKO","FRANCE, MAURITANIE","","100.00 minutes","","","2014"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2571/year/1993.html","BODY SNATCHERS","En Compétition","Longs Métrages","Abel FERRARA","ÉTATS-UNIS","","87.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/5310/year/1999.html","GHESSE HAYE KISH (LES CONTES DE KISH)","En Compétition","Longs Métrages","Abolfazl JALILI Mohsen MAKHMALBAF Nasser TAGHVAI","IRAN, RÉPUBLIQUE ISLAMIQUE D","","72.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4058/year/1951.html","CAICARA","En Compétition","Longs Métrages","Adolfo CELI","BRÉSIL","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3969/year/1952.html","TICO TICO NO FUBA","En Compétition","Longs Métrages","Adolfo CELI","BRÉSIL","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2188/year/1975.html","YUPPI DU","En Compétition","Longs Métrages","Adriano CELENTANO","ITALIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4201580/year/2004.html","COMME UNE IMAGE (COMME UNE IMAGE)","En Compétition","Longs Métrages","Agnès JAOUI","FRANCE","Prix du scénario, 2004","110.00 minutes","","","2003"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3174/year/1962.html","CLEO DE 5 A 7","En Compétition","Longs Métrages","Agnès VARDA","FRANCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/237/year/1989.html","EL NINO DE LA LUNA (L'ENFANT DE LA LUNE)","En Compétition","Longs Métrages","Agustí VILLARONGA","ESPAGNE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3974/year/1952.html","LAILAT GHARAM (UNE NUIT D'AMOUR)","En Compétition","Longs Métrages","Ahmed BADRAKHAN","ÉGYPTE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4696/year/1996.html","KAUAS PILVET KARKAAVAT (AU LOIN S'EN VONT LES NUAGES)","En Compétition","Longs Métrages","Aki KAURISMÄKI","FINLANDE","","96.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3103023/year/2002.html","MIES VAILLA MENNEISYYTTA (L'HOMME SANS PASSE)","En Compétition","Longs Métrages","Aki KAURISMÄKI","FINLANDE","Grand Prix, 2002;Prix d'interprétation féminine, 2002","97.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4336339/year/2006.html","LAITAKAUPUNGIN VALOT (LES LUMIERES DU FAUBOURG)","En Compétition","Longs Métrages","Aki KAURISMÄKI","FINLANDE, ALLEMAGNE, FRANCE","","80.00 minutes","","","2005"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11161546/year/2011.html","LE HAVRE","En Compétition","Longs Métrages","Aki KAURISMÄKI","FINLANDE, FRANCE, ALLEMAGNE","","93.00 minutes","","","2010"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3671/year/1956.html","IKIMONO NO KIROKU (SI LES OISEAUX SAVAIENT)","En Compétition","Longs Métrages","Akira KUROSAWA","JAPON","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1850/year/1980.html","KAGEMUSHA","En Compétition","Longs Métrages","Akira KUROSAWA","JAPON","Palme d'or Ex-aequo, 1980","","","",""
