Date,Taux métropolitain,Niveau,Type,Lien
19/05/2015,"0,276",Collège,Participation,
03/02/2015,"0,1041",Premier degré,Participation,http://www.education.gouv.fr/cid85968/taux-de-participation-a-la-greve-du-3-fevrier-2015.html&xtmc=greve&xtnp=2&xtcr=23
03/02/2015,"0,0742",Second degré,Participation,http://www.education.gouv.fr/cid85968/taux-de-participation-a-la-greve-du-3-fevrier-2015.html&xtmc=greve&xtnp=2&xtcr=23
18/03/2014,"0,063",Second degré,Participation,http://www.education.gouv.fr/cid67128/mouvement-national-de-greve-a-l-education-nationale-du-mardi-12-fevrier.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=9
18/03/2014,"0,05",Premier degré,Participation,http://www.education.gouv.fr/cid67128/mouvement-national-de-greve-a-l-education-nationale-du-mardi-12-fevrier.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=9
05/12/2013,"0,1889",Premier degré,Participation,http://www.education.gouv.fr/cid75540/taux-de-participation-au-mouvement-national-de-greve-des-enseignants-du-premier-degre-du-jeudi-5-decembre.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=6
14/11/2013,"0,23",Premier degré,Participation,http://www.education.gouv.fr/cid75540/taux-de-participation-au-mouvement-national-de-greve-des-enseignants-du-premier-degre-du-jeudi-5-decembre.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=6
28/03/2013,"0,0437",Premier degré,Intentions,http://www.education.gouv.fr/cid71238/mouvement-national-de-greve-des-enseignants-du-premier-degre-du-jeudi-28-mars-taux-de-participation.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=2
28/03/2013,"0,0356",Premier degré,Participation,http://www.education.gouv.fr/cid71262/mouvement-national-de-greve-a-l-education-nationale-du-jeudi-28-mars-2013.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=7
28/03/2013,"0,0103",Second degré,Participation,http://www.education.gouv.fr/cid71262/mouvement-national-de-greve-a-l-education-nationale-du-jeudi-28-mars-2013.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=7
12/02/2013,"0,3617",Premier degré,Participation,http://www.education.gouv.fr/cid74980/taux-de-participation-au-mouvement-national-de-greve-des-enseignants-du-premier-degre-du-jeudi-14-novembre.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=5
12/02/2013,"0,024",Premier degré,Participation,http://www.education.gouv.fr/cid67128/mouvement-national-de-greve-a-l-education-nationale-du-mardi-12-fevrier.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=9
22/01/2013,"0,25",Premier degré,Intentions,http://www.education.gouv.fr/cid74944/mouvement-national-de-greve-des-enseignants-du-premier-degre-du-jeudi-14-novembre.html&xtmc=mouvementnationaldegreve&xtnp=1&xtcr=1
06/09/2010,"0,056",Second degré,Participation,http://www.liberation.fr/societe/2010/09/07/greve-les-profs-a-l-echauffement_677088
20/01/2005,"0,5",Collège,Participation,http://www.liberation.fr/societe/2005/01/21/les-enseignants-retrouvent-le-chemin-de-la-greve_506956
20/01/2005,"0,44",Lycées,Participation,http://www.liberation.fr/societe/2005/01/21/les-enseignants-retrouvent-le-chemin-de-la-greve_506956
20/01/2005,"0,43",Premier degré,Participation,http://www.liberation.fr/societe/2005/01/21/les-enseignants-retrouvent-le-chemin-de-la-greve_506956
12/12/2001,"0,191",Lycées,Participation,http://www.liberation.fr/societe/2001/12/11/les-profs-defilent-en-rangs-epars_386783
11/12/2001,"0,244",Collège,Participation,http://www.liberation.fr/societe/2001/12/11/les-profs-defilent-en-rangs-epars_386783
10/12/2001,"0,232",Premier degré,Participation,http://www.liberation.fr/societe/2001/12/11/les-profs-defilent-en-rangs-epars_386783
16/03/1999,"0,4191",Premier degré,Participation,http://www.liberation.fr/societe/1999/03/16/mobilisation-moyenne-en-attendant-samedi_267634
16/03/1999,"0,3482",Second degré,Participation,http://www.liberation.fr/societe/1999/03/16/mobilisation-moyenne-en-attendant-samedi_267634
