Joueur	Année	Pays	Poste	Position	Taille	Poids	IMC
Andrews	1995	Afrique du Sud	2e ligne	Avant	200	112	28.000
Brink	1995	Afrique du Sud	3e ligne	Avant	195	108	28.402
Dalton	1995	Afrique du Sud	1ère ligne	Avant	180	92	28.395
Du Randt	1995	Afrique du Sud	1ère ligne	Avant	190	113	31.302
Hendricks	1995	Afrique du Sud	Ailier	Arrière	182	90	27.171
Hurter	1995	Afrique du Sud	1ère ligne	Avant	187	110	31.456
Johnson	1995	Afrique du Sud	Arrière	Arrière	191	89	24.396
Joubert	1995	Afrique du Sud	Arrière	Arrière	185	92	26.881
Kruger	1995	Afrique du Sud	3e ligne	Avant	188	101	28.576
Le Roux	1995	Afrique du Sud	Demi	Arrière	176	80	25.826
Mulder	1995	Afrique du Sud	Centre	Arrière	184	95	28.060
Otto	1995	Afrique du Sud	2e ligne	Avant	200	115	28.750
Pagel	1995	Afrique du Sud	1ère ligne	Avant	193	118	31.679
Pienaar	1995	Afrique du Sud	3e ligne	Avant	191	105	28.782
Richter	1995	Afrique du Sud	3e ligne	Avant	193	101	27.115
Rossouw	1995	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Roux	1995	Afrique du Sud	Demi	Arrière	180	85	26.235
Scholtz	1995	Afrique du Sud	Centre	Arrière	186	93	26.882
Small	1995	Afrique du Sud	Ailier	Arrière	182	90	27.171
Stransky	1995	Afrique du Sud	Demi	Arrière	179	84	26.216
Straueli	1995	Afrique du Sud	3e ligne	Avant	195	110	28.928
Strydom	1995	Afrique du Sud	2e ligne	Avant	199	115	29.040
Swart	1995	Afrique du Sud	1ère ligne	Avant	185	113	33.017
Van der Westhuizen	1995	Afrique du Sud	Demi	Arrière	184	88	25.992
Venter	1995	Afrique du Sud	Centre	Arrière	184	86	25.402
Wiese	1995	Afrique du Sud	2e ligne	Avant	199	125	31.565
Andrews	1999	Afrique du Sud	2e ligne	Avant	200	112	28.000
De Beer	1999	Afrique du Sud	Demi	Arrière	182	80	24.152
Drotske	1999	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Du Randt	1999	Afrique du Sud	1ère ligne	Avant	190	130	36.011
Erasmus	1999	Afrique du Sud	3e ligne	Avant	190	100	27.701
Fleck	1999	Afrique du Sud	Centre	Arrière	184	89	26.288
Garvey	1999	Afrique du Sud	1ère ligne	Avant	189	116	32.474
Honiball	1999	Afrique du Sud	Demi	Arrière	190	90	24.931
Julies	1999	Afrique du Sud	Centre	Arrière	182	88	26.567
Kayser	1999	Afrique du Sud	Ailier	Arrière	175	78	25.469
Kruger	1999	Afrique du Sud	3e ligne	Avant	189	102	28.555
Le Roux	1999	Afrique du Sud	1ère ligne	Avant	183	122	36.430
Leonard	1999	Afrique du Sud	3e ligne	Avant	190	102	28.255
Malotana	1999	Afrique du Sud	Centre	Arrière	176	85	27.441
Montgomery	1999	Afrique du Sud	Arrière	Arrière	183	85	25.381
Muller	1999	Afrique du Sud	Centre	Arrière	186	96	27.749
Otto	1999	Afrique du Sud	2e ligne	Avant	200	116	29.000
Paulse	1999	Afrique du Sud	Ailier	Arrière	175	74	24.163
Rossouw C.	1999	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Rossouw P.	1999	Afrique du Sud	Ailier	Arrière	193	90	24.162
Skinstad	1999	Afrique du Sud	3e ligne	Avant	195	104	27.350
Swanepoel	1999	Afrique du Sud	Demi	Arrière	173	80	26.730
Terblanche	1999	Afrique du Sud	Ailier	Arrière	187	95	27.167
Van den Bergh	1999	Afrique du Sud	2e ligne	Avant	201	102	25.247
Van der Westhuizen	1999	Afrique du Sud	Demi	Arrière	188	88	24.898
Van Heerden	1999	Afrique du Sud	2e ligne	Avant	198	110	28.058
Venter A.	1999	Afrique du Sud	3e ligne	Avant	196	108	28.113
Venter B.	1999	Afrique du Sud	Centre	Arrière	186	92	26.593
Visagie	1999	Afrique du Sud	1ère ligne	Avant	185	118	34.478
Vos	1999	Afrique du Sud	3e ligne	Avant	189	104	29.115
Bands	2003	Afrique du Sud	1ère ligne	Avant	183	119	35.534
Bezuidenhout	2003	Afrique du Sud	1ère ligne	Avant	187	116	33.172
Boome	2003	Afrique du Sud	2e ligne	Avant	198	107	27.293
Botha	2003	Afrique du Sud	2e ligne	Avant	201	120	29.702
Burger	2003	Afrique du Sud	3e ligne	Avant	193	106	28.457
De Kock	2003	Afrique du Sud	Demi	Arrière	177	80	25.535
Delport	2003	Afrique du Sud	Arrière	Arrière	188	98	27.727
Greef	2003	Afrique du Sud	Centre	Arrière	188	92	26.030
Hougaard	2003	Afrique du Sud	Demi	Arrière	176	87	28.086
Koen	2003	Afrique du Sud	Demi	Arrière	180	87	26.852
Krige	2003	Afrique du Sud	3e ligne	Avant	190	99	27.424
Loubscher	2003	Afrique du Sud	Arrière	Arrière	180	86	26.543
Matfield	2003	Afrique du Sud	2e ligne	Avant	200	115	28.750
Muller	2003	Afrique du Sud	Centre	Arrière	182	89	26.869
Paulse	2003	Afrique du Sud	Ailier	Arrière	178	80	25.249
Rautenbach	2003	Afrique du Sud	1ère ligne	Avant	190	128	35.457
Rossouw	2003	Afrique du Sud	2e ligne	Avant	198	120	30.609
Santon	2003	Afrique du Sud	1ère ligne	Avant	178	104	32.824
Scholtz	2003	Afrique du Sud	3e ligne	Avant	186	102	29.483
Sephaka	2003	Afrique du Sud	1ère ligne	Avant	178	115	36.296
Smith	2003	Afrique du Sud	3e ligne	Avant	196	104	27.072
Van der Westhuizen Ja.	2003	Afrique du Sud	Centre	Arrière	180	88	27.160
Van der Westhuizen Jo.	2003	Afrique du Sud	Demi	Arrière	188	92	26.030
Van Niekerk	2003	Afrique du Sud	3e ligne	Avant	193	105	28.189
Barry	2003	Afrique du Sud	Centre	Arrière	187	92	26.309
Coetzee	2003	Afrique du Sud	1ère ligne	Avant	185	109	31.848
Fourie	2003	Afrique du Sud	Centre	Arrière	189	92	25.755
Smit	2003	Afrique du Sud	1ère ligne	Avant	188	116	32.820
Terblanche	2003	Afrique du Sud	Ailier	Arrière	187	95	27.167
