Column 1,Column 2,Type,Column 3,Column 4
2015/514,CD du Eric Tru  az Quartet,Musique,FOUFINO PRODUCTION,6000
2015/899,CD de Mohamed Abozekry,Musique,FULL RHIZOME,4000
2015/762,CD de Yom,Musique,FULL RHIZOME,4300
2015/659,CD du Hawniyaz Ensemble,Musique,FULL RHIZOME,11500
2015/559,CD « Les Minuscules » - Christian Gonon,Musique,GALLIMARD JEUNESSE,328
2015/196,CD de Géraldine Laurent,Musique,GAZEBO,6400
2015/504,CD de Govrache,Musique,GOVRACHE,3150
2015/959,CD de Tweakers,Musique,HADRA,4300
2015/42,CD de Lovpact,Musique,HADRA,2000
2015/305,CD de Patrick Fournier,Musique,HARPO,4500
2015/971,CD du Florian Pellissier Quintet,Musique,HEAVENLY SWEETNESS,3100
2015/138,CD de The Rongetz Foundation,Musique,HEAVENLY SWEETNESS,6300
2015/896,CD de Jean-Philippe Lafont et Tristan Raës,Musique,HORTUS DEVELOPPEMENT,3100
2015/859,CD de  Cristiano Holtz,Musique,HORTUS DEVELOPPEMENT,7000
2015/744,CD de Matteo Fossi,Musique,HORTUS DEVELOPPEMENT,7000
2015/662,CD de Thomas Ospital,Musique,HORTUS DEVELOPPEMENT,5800
2015/577,CD du duo Françoise Masset et Anne Le Bozec,Musique,HORTUS DEVELOPPEMENT,7900
2015/492,CD de Jean-Baptiste Dupont,Musique,HORTUS DEVELOPPEMENT,3700
2015/428,CD de Michel Bouvard,Musique,HORTUS DEVELOPPEMENT,7500
2015/292,CD du Duo Sutre Vanhauvaert,Musique,HORTUS DEVELOPPEMENT,2200
2015/207,CD du duo Les Donneurs de Sérénade,Musique,HORTUS DEVELOPPEMENT,6200
2015/78,CD du trio Steuermann,Musique,HORTUS DEVELOPPEMENT,6000
2015/927,"CD de Shola Adisa - Farrar 
& le Florian Pellissier Quintet",Musique,HOT CASA,7400
2015/205,CD de Djeuh Djoah & Lieutenant Nicholson,Musique,HOT CASA,2800
2015/814,CD du Michel Cloup Duo,Musique,ICI D'AILLEURS,1400
2015/361,CD des Marquises,Musique,ICI D'AILLEURS,2300
2015/517,CD de Matt Elliott,Musique,ICI D'AILLEURS,7500
2015/911,CD de Seb El Zin,Musique,IGUANE SERIEL,1800
2015/479,CD de Ithak,Musique,IGUANE SERIEL,8200
2015/297,CD du groupe Anarchist Republic of Bzzz,Musique,IGUANE SERIEL,5700
2015/923,CD de In The Canopy,Musique,IN THE CANOPY,8300
2015/857,CD de Cubenx,Musique,INFINE,6700
2015/722,CD de Pedro Soler et Gaspar Claus,Musique,INFINE,3700
2015/320,CD de Bruce Brubaker,Musique,INFINE,3400
2015/962,CD du groupe Exsonvaldes,Musique,INTERFERENCE,3300
2015/627,CD du groupe Zone Libre,Musique,INTERVALLE TRITON,3786
2015/403,CD de Nathan Delacroix,Musique,IPANEMA MUSIC,2350
2015/811,CD de L'Arthur (EP),Musique,ISEGORIA MUSIC,2050
2015/585,CD de l'ensemble Luxus,Musique,JAZZ BANK ASSOCIATION,3933
2015/638,CD de Pascal Gallois & l'ensemble Ice,Musique,JAZZ BANK ASSOCIATION,6000
2015/634,CD de Nicola Son,Musique,JOAO DEL,9000
2015/121,CD de Lorenzo Caminotti,Musique,"KARTELL INDEPENDANT FORCE 
MUSIC",3200
2015/336,CD de Phil Barney,Musique,KEEBA MUSIC PRODUCTIONS,6200
2015/752,CD de Solenn Lefeuvre et Gilles Le Bigot,Musique,KELTIA MUSIQUE,5600
2015/325,CD du New Symphony Orchestra,Musique,KELTIA MUSIQUE,2800
2015/319,CD de Citizens!,Musique,KITSUNE MUSIQUE,11600
2015/834,CD « Claude Gueux » - David Beaulieu,Musique,KOS AND CO,1700
2015/529,CD d'Alexandre Delano,Musique,KÜTU FOLK RECORDS,5700
2015/830,CD de Barry,Musique,KWAIDAN,6500
2015/718,CD de Wendy Bevan,Musique,KWAIDAN,8093
2015/687,CD de Liset Alea,Musique,KWAIDAN,4150
2015/404,CD de The Living Gods of Haïti,Musique,KWAIDAN,8444
2015/278,CD de Mélanie Pain,Musique,KWAIDAN,6200
2015/169,CD de Jenia Lubich,Musique,KWAIDAN,5500
2015/950,CD de La Canaille,Musique,LA CANAILLE,10300
2015/70,CD de L'Etrangleuse,Musique,LA CURIEUSE,5300
2015/91,CD « Le son du ciel et des ténèbres »,Musique,LA FORGE,3700
2015/944,CD d'Adrien La Marca,Musique,LA PRIMA VOLTA,9500
2015/208,CD de Plantec,Musique,AZTEC MUSIQUE,6700
2015/124,CD de K'Reen,Musique,AZTEC MUSIQUE,5900
2015/427,CD de Jean-Marc Sauvagnargues,Musique,BABOEUP PRODUCTIONS,10900
2015/966,CD d'Anakronic,Musique,BALAGAN BOX,6300
2015/723,CD de Louis Ville,Musique,BALANDRAS EDITIONS,8500
2015/835,CD de Morgane Imbeaud,Musique,BELLEVILLE MUSIQUE,4900
2015/625,CD de Lewis Evans,Musique,BELLEVILLE MUSIQUE,8400
2015/359,CD d'El Gato Preto,Musique,BELLEVILLE MUSIQUE,5800
2015/516,CD de Aaron,Musique,BIRDS IN THE STORM,6000
2015/972,CD des Enfantastiques,Musique,BIZOU MUZIC,6800
2015/842,CD de Lammart Mason & The Strings,Musique,BLACK STAMP MUSIC,10600
2015/733,CD du groupe The Strings,Musique,BLACK STAMP MUSIC,9214
2015/669,CD du Mojo Black Orchestra,Musique,BLACK STAMP MUSIC,9400
2015/593,CD des Soul Jazz Rebels,Musique,BLACK STAMP MUSIC,6300
2015/290,CD du Black Stamp Quartet,Musique,BLACK STAMP MUSIC,4000
2015/400,CD de Mr Wins,Musique,BLACK STAMP MUSIC,5855
2015/317,CD des Chirurgiens,Musique,BLACK STAMP MUSIC,4100
2015/222,CD de 4 Pleasures Band,Musique,BLACK STAMP MUSIC,4600
2015/438,CD de Frederic Borey,Musique,BLUE MOON PRODUCIONES,6390
2015/747,CD de Léo Sidran & The French Boys (live),Musique,BONSAÏ BOOKING & MANAGEMENT,7046
2015/203,CD de Dino Rubino,Musique,BONSAÏ BOOKING & MANAGEMENT,2800
2015/82,CD de Matthieu Boré,Musique,BONSAÏ BOOKING & MANAGEMENT,6700
2015/76,"CD du trio Pieranunzi, Ceccarelli, Imbert",Musique,BONSAÏ BOOKING & MANAGEMENT,5100
2015/508,CD de Marietta,Musique,BORN BAD RECORDS,4400
2015/596,CD des Weepers Circus,Musique,BOULE A ZERO PRODUCTIONS,6000
2015/58,CD de Paria Madeus,Musique,BOUMQUEUR EDITION,5000
2015/149,CD de Gaël Horellou (live),Musique,BREAKZ,2300
2015/905,CD de Louve,Musique,BULL SHEET MUSIC,4600
2015/887,CD de Al Delort,Musique,CAN I PRODUCTION,10400
2015/775,CD « Résiste La Comédie Musicale »,Musique,CMBM,6000
2015/556,CD de Nolwenn Korbell,Musique,COOP BREIZH DIFFUSION BREIZH,7400
2015/557,CD de Talec & Noguet,Musique,COOP BREIZH DIFFUSION BREIZH,2600
2015/365,CD de Denez Prigent,Musique,COOP BREIZH DIFFUSION BREIZH,4000
2015/164,CD de Sheyla Costa,Musique,COSTA PROD,3300
2015/217,CD d'Olivier Ker Ourio,Musique,COTE COUR PRODUCTION,6600
2015/851,CD de Catia Werneck,Musique,CRISTAL PUBLISHING,3050
2015/626,CD d'Alice Ricciardi & Olivier Hutman,Musique,CRISTAL PUBLISHING,4500
2015/921,CD de Florian Noack,Musique,D2C PRODUCTION & MANAGEMENT,3100
2015/844,CD de Benedek Horvath,Musique,D2C PRODUCTION & MANAGEMENT,3200
2015/77,CD de Jocelyn Aubrun,Musique,D2C PRODUCTION & MANAGEMENT,3600
2015/729,CD de Ran Jia,Musique,D2C PRODUCTION & MANAGEMENT,3400
2015/87,CD de Gabriel Urgell Reyes,Musique,D2C PRODUCTION & MANAGEMENT,2000
2015/39,CD de Romain Descharmes,Musique,D2C PRODUCTION & MANAGEMENT,3000
2015/891,CD de Abel,Musique,DESSOUS DE SCENE PRODUCTIONS,2600
2015/43,CD de Dimitri Nirman,Musique,DIMOOK PROMOTIONS,6800
2015/928,CD de Dominik Coco,Musique,DON'S MUSIC,11980
2015/197,CD du groupe 58 Shots,Musique,DP PRODUCTION,6000
2015/658,CD de Stratovarius,Musique,EDEL GERMANY GMBH,10700
2015/663,CD de Deep Purple (live Tokyo et Hambourg),Musique,EDEL GERMANY GMBH,3400
2015/654,CD Alan Parsons Project,Musique,EDEL GERMANY GMBH,3500
2015/676,CD de Lisa Stansfield (live),Musique,EDEL GERMANY GMBH,8900
2015/673,CD de Deep Purple (live Wacken),Musique,EDEL GERMANY GMBH,3750
2015/48,CD du groupeThunder,Musique,EDEL GERMANY GMBH,10400
