Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
#14 RECORDS ,ANASTASIA ,AQUA TOFANA ,CD ,2000.0,17/09/15
2ZR ,CARIBBEAN DANDEE ,CARIBBEAN DANCE ,CD ,20000.0,05/11/15
6 MILLIARDS DE FETARDS ,TOURNEE GENERALE ,10 ANS ET TOUTES NOS DENTS ,Formation ,1500.0,16/12/15
A BRULE POURPOINT ,SAGES COMME DES SAUVAGES ,LARGUE LA PEAU ,SALLE ,1200.0,24/08/15
ABSILONE TECHNOLOGIES ,JEREMY JOUVE ,JEREMY JOUVES PLAYS DUPLESSY ,SALLE ,1920.0,15/04/15
ABSOLUTE MANAGEMENT ,PEREZ ,APOCALYPSE ,VM ,3000.0,05/11/15
ABSOLUTE MANAGEMENT ,PEREZ ,LES VACANCES CONTINUENT ,VM ,4000.0,10/02/15
ABUZIVE MUSIK ,SUBVENTION 2014 ,,MUZICENTER ,340.0,16/02/15
ACM / AIDE A LA CREATION MUSICALE ,CHRISTIAN BRAZIER QUARTET ,SEPTIEME VAGUE ,SALLE ,800.0,18/11/15
ACTIVIST MUSIC ,L HOMME PARLE ,TELEGENIQUE ,VM ,1000.0,02/04/15
ACTIVIST MUSIC ,L HOMME PARLE ,VAGABOND ,VM ,1500.0,17/09/15
ACTIVIST MUSIC ,L HOMME PARLE ,LE JOUR VIENDRA ,VM ,1500.0,17/09/15
ACTIVIST MUSIC ,SOLA ,LES VOIES DU HASARD ,VM ,1000.0,17/09/15
ADONE ,DEUX ,PHOTO NON CONTRACTUELLE ,PM ,2000.0,05/11/15
ADONE ,DEUX ,PHOTO NON CONTRACTUELLE ,SALLE ,1600.0,18/11/15
ADONE ,DEUX ,LES FILS CACHES DE JEAN-PAUL ,TS ,2000.0,05/11/15
ADONE ,LES FATALS PICARDS ,LES FATALS PICARDS TOURNEE 2015 ,TS ,4000.0,28/05/15
AIR RYTMO ,MORIARTY ,REVERSE (ANGER) ,VM ,5000.0,09/07/15
AIR RYTMO ,MORIARTY ,HISTORY OF VIOLENCE ,VM ,5000.0,17/09/15
AKS RECORDS ,GANDHI ,KILLING EACH OTHER ,VM ,1000.0,17/12/15
ALMA MUSIQUES ,ANTONIO PLACER ,MI PAIS SE HUNDE ,SALLE ,1200.0,01/09/15
