id,Url Source,Année,Titre,Competiton,Type,Premier Film,Realise Par,Sexe,Présence du réalisateur,Pays,Pays 1,Pays 2,Pays 3,Pays 4,Pays 5,Président du jury,Nationalité du président du jury,même pays jury et prod ,Palme,Récompense,Duree,Annee,URL Allociné,Note Allociné,Nombre de notes Sens Critique,Note Sens Critique,Classement Sens Critique
fc10,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4339/year/1946.html,1946,TRES DIAS SEM DEUS (TROIS JOURS SANS DIEU),En Compétition,Longs Métrages,,Barbara VIRGINIA,,1,PORTUGAL,PORTUGAL,,,,,Georges Huisman,France,0,0,,,,,,,0,4
fc11,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4313/year/1946.html,1946,THE CAPTIVE HEART (J'ETAIS UN PRISONNIER),En Compétition,Longs Métrages,,Basil DEARDEN,,1,ROYAUME-UNI,ROYAUME-UNI,,,,,Georges Huisman,France,0,0,,,,,,,0,5
fc12,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4308/year/1946.html,1946,THE MAGIC BOW,En Compétition,Longs Métrages,,Bernard KNOWLES,,1,ROYAUME-UNI,ROYAUME-UNI,,,,,Georges Huisman,France,0,0,,,,,,1,6,695
fc13,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4275/year/1946.html,1946,THE LOST WEEK-END (LE POISON),En Compétition,Longs Métrages,,Billy WILDER,,1,ÉTATS-UNIS,ÉTATS-UNIS,,,,,Georges Huisman,France,0,1,"Grand Prix International de la meilleure interprétation masculine, 1946;Grand Prix, 1946",,,http://www.allocine.fr/film/fichefilm_gen_cfilm=65267.html,"4,2",589,"7,5",1492
fc14,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4280/year/1946.html,1946,MAKE MINE MUSIC (LA BOITE A MUSIQUE),En Compétition,Longs Métrages,,Bob CORMACK Clyde GERONIMI Jack KINNEY Hamilton LUSKE Joshua MEADOR,,1,ÉTATS-UNIS,ÉTATS-UNIS,,,,,Georges Huisman,France,0,0,"Grand Prix International du dessin animé, 1946",,,,,,0,6
fc15,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4266/year/1946.html,1946,DE RODE ENGE (LA TERRE SERA ROUGE),En Compétition,Longs Métrages,,Bodil IPSEN Lau LAURITZEN,,1,DANEMARK,DANEMARK,,,,,Georges Huisman,France,0,1,"Grand Prix, 1946",,,http://www.allocine.fr/film/fichefilm_gen_cfilm=174825.html,#N/A,1,0,531
fc16,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4278/year/1946.html,1946,GILDA,En Compétition,Longs Métrages,,Charles VIDOR,,1,ÉTATS-UNIS,ÉTATS-UNIS,,,,,Georges Huisman,France,0,0,,,,,,893,"7,3",1333
fc17,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4314/year/1946.html,1946,NEECHA NAGAR (LA VILLE BASSE),En Compétition,Longs Métrages,,Chetan ANAND,,1,INDE,INDE,,,,,Georges Huisman,France,0,1,"Grand Prix, 1946",,,http://www.allocine.fr/film/fichefilm_gen_cfilm=193367.html,#N/A,,0,532
fc18,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4291/year/1946.html,1946,LE REVENANT,En Compétition,Longs Métrages,,CHRISTIAN-JAQUE,,1,FRANCE,FRANCE,,,,,Georges Huisman,France,1,0,,,,,,,0,7
fc19,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4309/year/1946.html,1946,THE SEVENTH VEIL (LE SEPTIEME VOILE),En Compétition,Longs Métrages,,Compton BENNET,,1,ROYAUME-UNI,ROYAUME-UNI,,,,,Georges Huisman,France,0,0,,,,,,5,"7,6",1498
fc2,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4367/year/1946.html,1946,ZOYA (ZOIA),En Compétition,Longs Métrages,,Lev ARNCHTAM,,1,,,,,,,Georges Huisman,France,0,0,,,,,,,0,1
fc20,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4310/year/1946.html,1946,BRIEF ENCOUNTER (BREVE RENCONTRE),En Compétition,Longs Métrages,,David LEAN,,1,ROYAUME-UNI,ROYAUME-UNI,,,,,Georges Huisman,France,0,1,"Grand Prix, 1946",,,http://www.allocine.fr/film/fichefilm_gen_cfilm=4291.html,"4,3",516,"7,9",1639
fc21,http://www.festival-cannes.com/fr/archives/ficheFilm/id/4325/year/1946.html,1946,MARIA CANDELARIA,En Compétition,Longs Métrages,,Emilio FERNÁNDEZ,,1,MEXIQUE,MEXIQUE,,,,,Georges Huisman,France,0,1,"Grand Prix, 1946",,,http://www.allocine.fr/film/fichefilm_gen_cfilm=6955.html,3,12,"7,3",1335
