ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
1,Pierre-René Lemas,23/02/1951,65,ENA (Voltaire),1,Directeur de cabinet du président du Sénat Jean-Pierre Bel,Public,Homme,Secrétaire général,1,15/05/2012,,12/04/2014,,Directeur général de la caisse des dépôts et consignations,Public,,697,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028842910,https://fr.wikipedia.org/wiki/Pierre-Ren%C3%A9_Lemas"
2,Benoît Puga,30/01/1953,63,Saint-Cyr,0,Armée,null,Homme,Chef de l'état-major particulier,1,15/05/2012,,,,,,,1490,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873
3,Aquilino Morelle,09/06/1962,54,ENA (Condorcet),1,Haut fonctionnaire à l'Inspection générales des affaires sociales,Public,Homme,Conseiller politique,1,15/05/2012,,18/04/2014,,Haut fonctionnaire à l'Inspection générale des affaires sociales,Public,,703,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028860396,http://www.lefigaro.fr/actualite-france/2014/09/11/01016-20140911ARTFIG00177-aquilino-morelle-de-retour-a-l-igas.php,https://fr.wikipedia.org/wiki/Aquilino_Morelle"
4,Emmanuel Macron,21/12/1977,39,ENA (Léopold Sédar Senghor),1,Associé-gérant chez Rothschild et Cie,Privé,Homme,Secrétaire général adjoint,1,15/05/2012,,31/08/2014,,"Ministre de l'Economie, de l'Industrie et du Numérique",Public,,838,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029238129,https://fr.wikipedia.org/wiki/Emmanuel_Macron"
5,Nicolas Revel,1967,49,ENA (Léon Gambetta),1,Conseiller maître à la Cour des Comptes,Public,Homme,Secrétaire général adjoint,1,15/05/2012,,17/11/2014,,Directeur de la caisse nationale de l'assurance maladie des travailleurs salariés,Public,,916,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029762358,https://fr.wikipedia.org/wiki/Nicolas_Revel,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000022419827"
6,Sylvie Hubac,07/03/1956,60,ENA (Voltaire),1,Président du Conseil supérieur de la propriété littéraire et artistique,Public,Femme,Directrice de cabinet,1,15/05/2012,,05/01/2015,,Présidente de la réunion des musées nationaux et du Grand Palais de Champs-Elysées,Public,,965,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030026861,https://fr.wikipedia.org/wiki/Sylvie_Hubac"
7,Alain Zabulon,27/06/1955,61,ENA (Michel de Montaigne),1,Préfet des Landes,Public,Homme,Directeur de cabinet adjoint,1,15/05/2012,,10/06/2013,,Coordinateur national du renseignement,Public,20/05/2015,391,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027692044,https://fr.wikipedia.org/wiki/Alain_Zabulon,https://fr.wikipedia.org/wiki/Liste_des_pr%C3%A9fets_des_Landes"
8,Pierre Besnard,06/03/1966,50,DEUG Administration économique et sociale,0,Chef de cabinet du président du Sénat Jean-Pierre Bel,Public,Homme,Chef de cabinet,1,15/05/2012,,10/06/2013,,Préfet des Hautes-Alpes,Public,01/01/2016,391,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025885873;https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027692044,https://fr.wikipedia.org/wiki/Pierre_Besnard_(haut_fonctionnaire)"
9,Paul Jean-Ortiz,09/03/1957,59,IEP Aix-en-Provence,0,Directeur Asie et Océanie au ministère des Affaires étrangères,Public,Homme,Conseiller diplomatique et sherpa G8,1,17/05/2012,,31/07/2014,,Décès,null,,805,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/jo_pdf.do?numJO=0&dateJO=20130621&numTexte=66&pageDebut=&pageFin=,http://www.lepoint.fr/politique/paul-jean-ortiz-conseiller-diplomatique-de-hollande-pour-la-transition-10-05-2012-1460064_20.php"
10,Philippe Léglise-Costa,01/11/1966,50,Polytechnique,0,Représentant permanent adjoint de la France aurpès de l'Union européenne,Public,Homme,"Conseiller pour les affaires européennes, adjoint au conseiller diplomatique",1,17/05/2012,,05/01/2015,,Secrétaire général du secrétariat général des affaires européennes,Public,09/04/2014,963,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895150,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030026858,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028841204,http://www.acteurspublics.com/biographies/detail/30608"
