annee,academie,bac_general Inscrits,bac_general Présents,bac_general Réussite,bac_general Réussite (chiffres),bac_general AB,bac_general B,bac_general TB,bac_pro Inscrits,bac_pro Présents,bac_pro Réussite,bac_pro AB,bac_pro B,bac_pro TB,bac_techno Inscrits,bac_techno Présents,bac_techno Réussite,bac_techno AB,bac_techno B,bac_techno TB
1997,AIX-MARSEILLE,15713,15525,"0,7474396135",11604,2353,699,131,3845,3744,"0,7486645299",979,276,7,6966,6852,"0,7342381786",1018,171,11
1997,AMIENS,10472,10391,"0,7339043403",7626,1626,625,156,3282,3231,"0,7691117301",860,262,25,6161,6074,"0,7369114257",943,164,17
1997,ANTILLES-GUYANE ,5795,5660,"0,65",3679,546,157,32,2200,2136,"0,68",324,34,0,3197,3060,"0,66",169,15,3
1997,BESANCON,6809,6759,"0,7669773635",5184,1000,303,80,1877,1843,"0,8117200217",577,121,2,3345,3298,"0,8062462098",753,126,7
1997,BORDEAUX,16517,16309,"0,7500766448",12233,2154,588,83,3948,3856,"0,8067946058",1098,232,8,6756,6652,"0,7790138304",1057,171,13
1997,CAEN,8585,8517,"0,7252553716",6177,1110,335,56,2433,2384,"0,8196308725",750,134,12,3867,3812,"0,7788562434",644,104,4
1997,CLERMONT-FERRAND,7822,7752,"0,7687048504",5959,1270,422,78,2295,2236,"0,8161896243",706,226,12,3396,3331,"0,8135694986",724,135,7
1997,CORSE,1403,1387,"0,7721701514",1071,200,76,24,273,258,"0,7325581395",60,16,0,618,585,"0,6923076923",48,8,1
1997,CRETEIL,20626,20253,"0,70646324",14308,2716,783,108,6607,6468,"0,7520098949",1636,457,38,11737,11452,"0,749650716",1617,225,15
1997,DIJON,9164,9114,"0,7694755321",7013,1481,524,128,2396,2360,"0,7974576271",711,160,13,4487,4444,"0,7900540054",802,151,12
1997,GRENOBLE,17274,17038,"0,7993309074",13619,3053,1057,208,3797,3738,"0,8287854468",1124,330,16,7787,7658,"0,8166623139",1575,290,21
1997,LA REUNION,4461,4385,"0,6592930445",2891,550,214,75,1310,1268,"0,6758675079",218,31,0,2643,2592,"0,6631944444",279,59,0
1997,LILLE,24878,24585,"0,7452918446",18323,4134,1675,476,9035,8870,"0,7729425028",2391,695,92,15482,15278,"0,7436837282",2618,609,55
