Nom,Circonscription,Date,Echéance,Prolongation,Démission,Nom,Ministère,Lien,Lien prolongation
Karine Berger,,09/10/2012,09/04/2013,,,,"ministre de l'économie et des finances, ministre délégué auprès du ministre de l'économie et des finances, chargé du budget",http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=FBC28DC3B3CB48662FD6E74307E80011.tpdjo17v_2?cidTexte=JORFTEXT000026475653&categorieLien=id,
Philippe Martin,,23/11/2012,23/05/2013,,,,"ministre de l'écologie, du développement durable et de l'énergie et du ministre de l'agriculture, de l'agroalimentaire et de la forêt",http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=025A03E797ACA6C99B41D43BEB6F82BA.tpdila08v_1?cidTexte=JORFTEXT000026666286&dateTexte=20121124,
Michel Vauzelle,,01/01/2013,01/07/2013,,,,ministre des affaires étrangères,http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=959054B89C1C1BBBE1D6A5D0842815CD.tpdila16v_3?cidTexte=JORFTEXT000026887607&idArticle=&categorieLien=id,
Michel Lesage,,08/02/2013,08/08/2013,,,,"mininstre de l'écologie, du développement durable et de l'énergie",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027048338,
Thierry Mandon,,14/02/2013,14/08/2013,,,,"ministre de l'économie et des finances, de la ministre de la réforme de l'Etat, de la décentralisation et de la fonction publique, ministre déléguée auprès du ministre du redressement productif, chargée des petites et moyennes entreprises, de l'innovation et de l'économie numérique",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027066055,
Christophe Sirugue,,07/03/2013,07/09/2013,,,,Premier ministre,http://legifrance.gouv.fr/affichTexte.do;jsessionid=E6191AE89B68ED4A93129898559C5334.tpdila07v_1?cidTexte=JORFTEXT000027148221&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000027147826,
Arnaud Leroy,,23/04/2013,23/10/2013,,,,"ministre délégué auprès de la ministre de l'écologie, du développement durable et de l'énergie, chargé des transports, de la mer et de la pêche",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027347976,
Jérôme Guedj,,29/04/2013,29/10/2013,,,,"ministre de l'économie et des finances, ministre des affaires sociales et de la santé, ministre des sports, de la jeunesse, de l'éducation populaire et de la vie associative.",http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=B8C738763D96A4D42154365A1D4CA419.tpdila10v_1?cidTexte=JORFTEXT000027376591&dateTexte=20130430,
Michel Françaix,,04/10/2013,04/04/2014,,,,ministre de la culture et de la communication,http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=096FF84CF0AFBB6EB082DF6E9328D916.tpdjo08v_1?cidTexte=JORFTEXT000028035883&categorieLien=id,
Corinne Erhel,,25/02/2014,25/08/2014,,,,"ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes handicapées et de la lutte contre l'exclusion, ministre déléguée auprès du ministre du redressement productif, chargée des petites et moyennes entreprises, de l'innovation et de l'économie numérique",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028656299&categorieLien=id,
Annie Le Houerou,,20/03/2014,20/09/2014,,,,"ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social, ministre déléguée auprès de la ministre des affaires sociales et de la santé, chargée des personnes handicapées et de la lutte contre l'exclusion",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028752494,
Yves Blein,,23/05/2014,23/11/2014,,,,"ministre de l'intérieur, ministre des droits des femmes, de la ville, de la jeunesse et des sports",http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028969733,
