"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"ABBEVILLE","PIC0010",80,3639,"93 %","67 %","67 %",4558,353,143,91
"ABYMES DOTHEMARE","GUA0027",971,2685,"89 %","54 %","65 %",9248,205,168,83
"AGDE","LAN0062",34,5822,"93 %","73 %","67 %",6528,289,165,72
"AGEN","AQU0040",47,8589,"94 %","63 %","69 %",8108,372,175,63
"AIX  PEROUSE","PAC0034",13,3553,"96 %","70 %","62 %",3447,193,121,61
"AIX CLUB HIPPIQUE","PAC0047",13,4740,"94 %","61 %","62 %",4639,214,175,53
"AIX LES BAINS","RHA0138",73,4769,"94 %","72 %","65 %",3603,307,167,59
"AIX THUMINE","PAC0040",13,4325,"91 %","70 %","62 %",4625,204,120,63
"AJACCIO","COR0007","2A2B",5572,"94 %","71 %","77 %",5965,447,131,43
"ALBERTVILLE","RHA0139",73,14601,"97 %","69 %","65 %",7641,173,95,50
"ALBI","MPY0022",1281,5302,"95 %","71 %","68 %",5799,219,127,80
"ALENCON","BNO0010",61,3322,"94 %","58 %","64 %",3550,130,92,95
"ALES AVENE","LAN0024",3048,4491,"95 %","58 %","66 %",6207,385,195,85
"ALES GARDON","LAN0032",3048,3877,"95 %","65 %","66 %",6354,146,190,92
"ALTKIRCH","ALS0060",68,2774,"94 %","71 %","68 %",3073,376,205,64
"AMBERIEU EN BUGEY","RHA0221",1,3390,"93 %","53 %","59 %",2699,273,154,75
"AMBOISE","CEN0031",37,3853,"94 %","64 %","67 %",3242,342,188,71
"AMIENS DURY","PIC0008",80,4896,"94 %","61 %","67 %",5462,343,184,112
"AMIENS MILLEVOYE","PIC0011",80,4771,"93 %","60 %","67 %",6222,339,480,99
"AMIENS TELLIER","PIC0019",80,3960,"93 %","54 %","67 %",5177,525,174,81
"ANCENIS","PDL0098",44,3586,"93 %","63 %","59 %",2289,194,152,66
"ANDERNOS","AQU0095",33,3413,"94 %","78 %","65 %",2903,344,155,70
"ANDREZIEUX BOUTHEON","RHA0158",42,4150,"94 %","58 %","65 %",3355,221,106,66
"ANGERS BALZAC","PDL0120",49,5797,"93 %","55 %","64 %",5678,266,134,70
"ANGERS CAPUCINS","PDL0112",49,6886,"92 %","58 %","64 %",6106,294,125,58
"ANGERS EUROPE","PDL0121",49,4866,"93 %","52 %","64 %",5319,357,150,61
"ANGERS LA ROSERAIE","PDL0117",49,5717,"93 %","56 %","64 %",5740,347,182,66
"ANGOULEME LA COURONNE","PCH0052",16,5678,"94 %","62 %","66 %",6327,464,172,51
"ANGOULEME SAINT-MARTIAL","PCH0049",16,5703,"94 %","65 %","66 %",5759,348,137,67
"ANNECY","RHA0107",74,6969,"94 %","69 %","60 %",4999,206,146,65
"ANNEMASSE","RHA0112",74,5441,"92 %","70 %","60 %",6781,356,138,67
"ANNONAY","RHA0201",726,3743,"93 %","68 %","66 %",3344,177,142,72
"ANTIBES VALLAURIS","PAC0152",6,8903,"94 %","71 %","66 %",8917,360,181,70
"ANTONY","IDF0198",92,5491,"94 %","64 %","58 %",5543,185,127,79
"ANTONY CADRES","IDF0429",92,1877,"95 %","67 %","58 %",2126,"ND","ND","ND"
"ANZIN","NPC0090",59,4629,"95 %","58 %","67 %",6476,253,182,94
"APT","PAC0113",84,1782,"96 %","78 %","66 %",2074,381,189,68
"ARC LES GRAY","FRC0017",3970,2377,"94 %","66 %","68 %",1946,346,171,88
"ARGELES SUR MER","LAN0011",66,3184,"93 %","64 %","65 %",3630,367,237,70
"ARGENTAN","BNO0015",61,2137,"93 %","77 %","64 %",2152,169,112,81
"ARGENTEUIL","IDF0116",95,7007,"91 %","56 %","62 %",8854,186,155,70
"ARGENTON SUR CREUSE","CEN0012",36,2806,"94 %","57 %","59 %",3187,386,233,79
"ARLES","PAC0050",13,7243,"93 %","55 %","62 %",7689,315,153,59
"ARMENTIERES","NPC0061",59,3460,"96 %","62 %","67 %",3595,211,147,79
"ARPAJON","IDF0143",91,4375,"94 %","64 %","62 %",3953,147,111,73
"ARRAS RIVAGE","NPC0136",62,4728,"93 %","60 %","70 %",4628,284,248,59
"ARRAS SYMPHORINE","NPC0169",62,3993,"94 %","72 %","70 %",4659,292,180,81
"ASNIERES-SUR-SEINE","IDF0159",92,4493,"93 %","70 %","58 %",4493,156,138,70
"AUBAGNE","PAC0052",13,5363,"96 %","70 %","62 %",5621,296,106,67
"AUBENAS","RHA0202",726,6791,"96 %","62 %","66 %",7733,350,224,65
"AUBERVILLIERS","IDF0253",93,5340,"95 %","60 %","69 %",7056,348,115,70
"AUBIGNY SUR NERE","CEN0101",18,1587,"92 %","49 %","62 %",1608,311,214,68
"AUBUSSON","LIM0020",2319,1368,"96 %","ND","68 %",1822,480,218,69
"AUCH","MPY0068",93265,4227,"93 %","70 %","75 %",4188,241,129,82
"AUDINCOURT","FRC0053",2590,2855,"93 %","64 %","65 %",3382,406,158,76
"AULNAY-SOUS-BOIS","IDF0254",93,5400,"94 %","59 %","69 %",6219,331,177,73
"AULNOYE AYMERIES","NPC0103",59,1301,"97 %","ND","67 %",1920,256,190,80
"AURAY","BRE0022",56,6613,"93 %","62 %","59 %",5589,272,156,73
"AURILLAC","AUV0048",4315,4957,"89 %","65 %","70 %",3886,310,169,67
"AUSSILLON","MPY0025",1281,2756,"95 %","71 %","68 %",2760,307,184,78
"AUTUN","BRG0042",71,1894,"97 %","74 %","67 %",1879,326,138,63
"AUXERRE CLAIRIONS","BRG0012",89,6570,"93 %","55 %","65 %",6458,328,142,65
"AVALLON","BRG0020",89,1805,"93 %","67 %","65 %",1946,202,125,86
"AVESNES SUR HELPE","NPC0104",59,2433,"97 %","ND","67 %",4166,261,169,76
