id,nom,candidat,sexe,poste,groupes
duhamel,Pierre-Mathieu Duhamel,Alain Juppé,H,Programme,"chiracparis,juppemat,juppe16"
leroux,Vincent Le Roux,Alain Juppé,H,Comités de soutien,"chiracelysee,juppebordeaux,juppe16"
philippe,Edouard Philippe,Alain Juppé,H,,"juppecabeco,philippecab,juppe16"
fort,Clémence Fort,Alain Juppé,F,Presse,"philippecab,juppe16"
berge,Aurore Bergé,Alain Juppé,F,Réseaux sociaux,juppe16
zuckerman,Eve Zuckerman,Alain Juppé,F,,juppe16
boyer,Gilles Boyer,Alain Juppé,H,Directeur,"juppebordeaux,chirac2002,juppecabeco,juppecabdef,juppecaborsay,juppe16"
hufnagel,Charles Hufnagel,Alain Juppé,H,Presse,"juppecabdef,juppecaborsay,juppe16"
calan,Maël de Calan,Alain Juppé,H,Programme,juppe16
albanel,Christine Albanel,Alain Juppé,F,,"chiracparis,chirac95,chiracelysee,fillongouv,juppe16"
apparu,Benoist Apparu,Alain Juppé,H,,"darcoscab1,fillongouv,juppe16"
calmels,Virginie Calmels,Alain Juppé,F,,juppe16
teillet,David Teillet,Alain Juppé,H,Déplacements,"darcoscab1,darcoscab2,juppe16"
guevenoux,Marie Guevenoux,Alain Juppé,F,Collecte de fonds,"darcoscab2,juppe16"
gaymard,Hervé Gaymard,Alain Juppé,H,,"chirac95,juppe16"
granddesnon,Jérome Grand d'Esnon,Bruno Le Maire,H,Directeur,"chiracparis,chiracelysee,chirac2002,blm16"
sitzenstuhl,Charles Sitzenstuhl,Bruno Le Maire,H,Elus,blm16
missoffe,Alain Missoffe,Bruno Le Maire,H,Collecte de fonds,blm16
tubiana,Camille Tubiana,Bruno Le Maire,F,Parlement,"cuqcab,lemairecab,blm16"
lecornu,Sébastien Lecornu,Bruno Le Maire,H,Directeur adjoint,"lemairecab,blm16"
sirven,Bertrand Sirven,Bruno Le Maire,H,Communication,"villepincab,lemairecab,blm16"
heuze,Grégoire Heuzé,Bruno Le Maire,H,,"villepincab,blm16"
bouchery,Olivier Bouchery,Bruno Le Maire,H,Projet,blm16
costilhes,Maxime Costilhes,Bruno Le Maire,H,Chef de cabinet,"sarkoelysee,gueantcab,blm16"
rivaton,Robin Rivaton,Bruno Le Maire,H,Conseiller,blm16
lucas,Dimitri Lucas,Bruno Le Maire,H,Communication,"chirac2002,sarkoelysee,blm16"
calcoen,Nicolas Calcoen,Bruno Le Maire,H,,"woerthcab,blm16"
guignard,Gautier Guignard,François Fillon,H,Numérique,"berracab,fillon16"
schmid,Isabelle Schmid,François Fillon,F,Projet,"berracab,chartiercab,fillon16"
chartier,Jérome Chartier,François Fillon,H,,"chartiercab,fillon16"
morard,Caroline Morard,François Fillon,F,Presse,"chartiercab,fillon16"
stefanini,Patrick Stefanini,François Fillon,H,Directeur,"chiracparis,chirac95,juppemat,chirac2002,fillon16"
demontlaur,Arnaud de Montlaur,François Fillon,H,Collecte,fillon16
doucerain,Caroline Doucerain,François Fillon,F,Parlement,"cuqcab,fillonmat,fillon16"
faguer,Anne Faguer,François Fillon,F,Parlement,"fillonmat,fillon16"
