id,nom,nombre,date,ids
chiracparis,Cabinet de Chirac – Mairie de Paris,5,1988,"duhamel,albanel,granddesnon,stefanini,peyrat"
chirac95,Chirac '95 – Campagne présidentielle,3,1995,"albanel,gaymard,stefanini"
chiracelysee,Cabinet de Chirac – Elysée,5,1995,"leroux,albanel,granddesnon,peyrat,wache"
juppemat,Cabinet de Juppé – Matignon,2,1995,"duhamel,stefanini"
juppebordeaux,Mairie de Bordeaux – Cabinet d'Alain Juppé,2,2002,"leroux,boyer"
copecab,Cabinet de Copé – Relations avec le Parlement,1,2002,pasquelin
darcoscab1,Cabinet de Darcos – Enseignement scolaire,3,2002,"apparu,teillet,mano"
chirac2002,Chirac '02 – Campagne présidentielle,4,2002,"boyer,granddesnon,lucas,stefanini"
sarkocabint,Cabinet de Sarkozy – Intérieur,5,2005,"mitrofanoff,gerault,harel,peyrat,schahl"
cuqcab,Cabinet de Cuq – Relations avec le Parlement,2,2006,"tubiana,doucerain"
villepincab,Cabinet de Villepin – Affaires étrangères,2,2006,"sirven,heuze"
sarko2007,Sarkozy '07 – Campagne présidentielle,3,2007,"harel,peyrat,giacometti"
sarkoelysee,Cabinet de Sarkozy – Elysée,9,2007,"costilhes,lucas,harel,peyrat,furon,regent,calandre,wache,raynaud"
juppecabeco,Cabinet de Juppé – Ecologie,2,2007,"philippe,boyer"
woerthcab,Cabinet de Woerth – Budget,2,2007,"calcoen,proto"
fillongouv,Gouvernement Fillon,2,2007,"albanel,apparu"
juppecabdef,Cabinet de Juppé – Défense,3,2010,"boyer,hufnagel,gerault"
berracab,Cabinet de Berra – Santé,2,2010,"guignard,schmid"
lemairecab,Cabinet de Le Maire – Agriculture,3,2010,"tubiana,lecornu,sirven"
darcoscab2,Cabinet de Darcos – Education nationale,2,2010,"teillet,guevenoux"
giacometticab,"Giacometti, Péron & Associés",2,2010,"vuillerminaz,giacometti"
juppecaborsay,Cabinet de Juppé – Affaires étrangères,2,2011,"boyer,hufnagel"
gueantcab,Cabinet de Guéant – Intérieur,2,2011,"costilhes,georgin"
nkmcab,Cabinet de Kosciusko-Morizet – Ecologie,4,2011,"peyrat,lasteyrie,longuet,laurentjoye"
fillonmat,Cabinet de Fillon – Matignon,5,2012,"doucerain,faguer,chomaudon,mitrofanoff,levy"
sarko2012,Sarkozy '12 – Campagne présidentielle,3,2012,"longuet,proto,giacometti"
cope2014,Cabinet de Copé – Présidence de l'UMP,3,2012,"tabarot,feydeau,vincendet"
nkm2014,NKM '14 – Campagne municipale,9,2014,"mano,pawlik,peyrat,lasteyrie,longuet,furon,berthault,pechenard,anselin"
sarkoump2014,Sarkozy '14 – Campagne pour l'UMP,8,2014,"georgin,wache,pechenard,proto,gaudin,anselin,raynaud,giacometti"
pcd,Parti chrétien-démocrate,2,2016,"jamin,levavasseur"
chartiercab,Cabinet de Chartier – Assemblée nationale,3,2016,"schmid,chartier,morard"
philippecab,Cabinet de Philippe – Assemblée nationale,2,2016,"philippe,fort"
image7,Image 7,2,2016,"levy,meaux"
sarkolr,Cabinet de Sarkozy – Présidence de LR,2,2015,"pechenard,schahl"
blm16,,12,2016,"granddesnon,sitzenstuhl,missoffe,tubiana,lecornu,sirven,heuze,bouchery,costilhes,rivaton,lucas,calcoen"
cope16,,6,2016,"vuillerminaz,cope,tabarot,feydeau,vincendet,pasquelin"
fillon16,,14,2016,"guignard,schmid,chartier,morard,stefanini,demontlaur,doucerain,faguer,chomaudon,mitrofanoff,demirdjian,levy,meaux,gerault"
juppe16,,15,2016,"duhamel,leroux,philippe,fort,berge,zuckerman,boyer,hufnagel,calan,albanel,apparu,calmels,teillet,guevenoux,gaymard"
nkm16,,10,2016,"harel,latour,mano,pawlik,peyrat,lasteyrie,longuet,furon,berthault,laurentjoye"
poisson16,,2,2016,"jamin,levavasseur"
sarkozy16,,11,2016,"regent,calandre,georgin,wache,pechenard,schahl,proto,gaudin,anselin,raynaud,giacometti"
